Ticker,Price,20day SMA,50day SMA,200day SMA,20day EMA,50day EMA,200day EMA,Weekly Return,Monthly Return,14day Profit
LUV,35.61,38.988,48.263,52.077,39.457,45.3,51.018,-2.05,-10.4,False
BAC,21.23,22.273,28.659,29.921,23.013,26.837,29.551,0.2,-7.09,True
UAL,31.55,37.49,60.855,81.838,39.05,55.15,76.033,-1.45,-30.04,False
V,161.12,164.742,186.803,181.208,165.853,177.722,178.005,6.59,-20.64,True
JPM,89.1,93.565,116.399,118.23,95.955,109.527,116.852,1.58,-25.82,True
AAL,12.19,14.191,21.569,27.008,15.052,19.537,26.151,-1.73,-6.86,False
RCL,32.17,39.227,80.673,105.095,43.511,69.733,99.694,-2.3,-47.45,True
SNAP,11.89,11.158,14.826,15.319,11.796,13.552,14.384,0.89,-2.28,True
SBUX,65.74,66.382,78.528,85.589,67.789,74.931,80.776,0.86,-12.69,True
CCL,13.17,17.278,31.943,41.65,18.317,27.944,40.387,-0.51,-20.29,False
WFC,28.7,30.868,40.209,46.576,31.798,38.083,45.309,-0.22,-12.15,True
SNE,59.18,57.689,64.256,60.906,58.703,61.906,60.765,2.18,-3.02,True
ATVI,59.09,56.732,58.888,54.027,56.845,57.791,55.503,5.02,1.34,True
CRBP,5.24,4.583,5.482,5.533,4.894,5.151,5.596,0.49,0.5,True
ZM,146.12,126.014,104.913,86.151,129.121,110.639,87.439,10.94,41.12,False
PFE,32.64,32.008,34.99,37.031,32.053,34.08,36.702,2.94,-0.78,True
CPE,0.55,0.707,2.004,3.969,0.881,1.807,3.976,0.03,-1.72,False
NKE,82.74,78.558,90.665,90.227,80.402,86.876,89.504,10.41,-6.64,True
JNJ,131.13,130.316,140.46,135.104,129.967,135.976,136.144,11.95,-3.35,True
ERI,14.4,18.58,43.775,46.367,21.162,35.59,45.581,-0.65,-35.78,True
AMD,45.48,44.156000000000006,48.022,38.24,45.074,45.974,39.541,-0.74,0.0,True
BP,24.39,23.266,30.548000000000002,35.595,24.035999999999998,28.575,34.601,2.27,-6.9,True
MA,241.19,251.93400000000003,293.923,282.824,255.02200000000002,277.378,277.48900000000003,4.49,-48.61,True
SPOT,121.44,129.416,138.683,140.349,128.222,135.514,140.15,-8.25,-15.68,True
DIS,96.6,100.255,121.898,134.54,102.531,116.133,128.789,-1.52,-21.05,True
TWTR,24.56,27.776,32.229,35.404,27.497,30.441999999999997,33.645,-1.29,-8.64,True
KO,44.25,46.67,53.273,52.858999999999995,46.169,50.515,51.849,4.8,-8.77,True
ROKU,87.48,87.444,110.45200000000001,123.757,91.154,105.241,113.40100000000001,-9.72,-26.19,True
VZ,53.16,53.168,56.026,57.018,53.143,55.138999999999996,56.434,3.7,-0.42,True